id;type;geometry
126;N/A;POINT (11.3009387 44.49850690000001)
127;N/A;POINT (11.2928611 44.493033700000005)
128;N/A;POINT (11.2704218 44.48986519999999)
129;N/A;POINT (11.2721492 44.4891755)
130;N/A;POINT (11.269788399999998 44.49012749999999)
131;N/A;POINT (11.360335 44.53053400000001)
132;N/A;POINT (11.360173199999998 44.53054659999999)
133;N/A;POINT (11.3591025 44.528873299999994)
134;N/A;POINT (11.359236899999999 44.5249832)
135;N/A;POINT (11.2956473 44.52437)
136;N/A;POINT (11.266174500000002 44.49131)
137;N/A;POINT (11.2455716 44.49082889999999)
138;N/A;POINT (11.2690553 44.4906825)
139;N/A;POINT (11.269532500000002 44.4904292)
140;N/A;POINT (11.2702847 44.4902449)
141;N/A;POINT (11.2688808 44.4917861)
142;N/A;POINT (11.2689822 44.49039780000001)
143;N/A;POINT (11.2636892 44.48435979999999)
144;N/A;POINT (11.264407 44.48449969999999)
145;N/A;POINT (11.2708004 44.479376900000005)
146;N/A;POINT (11.271376949996457 44.47908550005705)
147;N/A;POINT (11.267709499997764 44.48317640000297)
148;N/A;POINT (11.26759343548675 44.48337237187856)
149;N/A;POINT (11.2698044 44.481321999999984)
150;N/A;POINT (11.2676932 44.4836897)
151;N/A;POINT (11.2673528 44.4830486)
152;N/A;POINT (11.2750878 44.47599789999999)
153;N/A;POINT (11.272993849979613 44.47870885000446)
154;N/A;POINT (11.2756782 44.47521780000001)
155;N/A;POINT (11.275890000000002 44.475414)
156;N/A;POINT (11.2761026 44.4749957)
157;N/A;POINT (11.2743663 44.4741047)
158;N/A;POINT (11.274075499999999 44.473884399999996)
159;N/A;POINT (11.2752342 44.4730331)
160;N/A;POINT (11.273845049966386 44.47360645000707)
161;N/A;POINT (11.2724598 44.4740444)
162;N/A;POINT (11.2733146 44.4728611)
163;N/A;POINT (11.2747383 44.4723416)
164;N/A;POINT (11.272601199999999 44.471765699999985)
165;N/A;POINT (11.2746702 44.46869780000001)
166;N/A;POINT (11.272098024627791 44.47072963671232)
167;N/A;POINT (11.271962599999998 44.4709292)
168;N/A;POINT (11.2713322 44.4761377)
169;N/A;POINT (11.271829300054172 44.47421510005101)
170;N/A;POINT (11.270512399999998 44.47559849999999)
171;N/A;POINT (11.270376900000002 44.475751499999994)
172;N/A;POINT (11.2700655 44.4761415)
173;N/A;POINT (11.269289750007207 44.475865600001335)
174;N/A;POINT (11.269723 44.4765391)
175;N/A;POINT (11.2709572 44.4765347)
176;N/A;POINT (11.269401800000002 44.47694180000001)
177;N/A;POINT (11.270289599999998 44.4772905)
178;N/A;POINT (11.2686897 44.4776821)
179;N/A;POINT (11.268287 44.478036499999995)
180;N/A;POINT (11.2675962 44.4786852)
181;N/A;POINT (11.266968099999998 44.47945399999999)
182;N/A;POINT (11.2659182 44.479159)
183;N/A;POINT (11.2675805 44.479627400000005)
184;N/A;POINT (11.26920319998676 44.47980640000102)
185;N/A;POINT (11.265421699999997 44.4805458)
186;N/A;POINT (11.2630236 44.48206679999999)
187;N/A;POINT (11.2637685 44.4814097)
188;N/A;POINT (11.269473299999998 44.479692199999995)
189;N/A;POINT (11.269999900010362 44.479578050009806)
190;N/A;POINT (11.2694297 44.478955)
191;N/A;POINT (11.2704859 44.4794611)
192;N/A;POINT (11.3284442 44.494710399999995)
193;N/A;POINT (11.328829491067681 44.4946796183061)
194;N/A;POINT (11.3281491 44.495665100000004)
195;N/A;POINT (11.328197499999998 44.494751599999994)
196;N/A;POINT (11.3212147 44.49545109999999)
197;N/A;POINT (11.3214691 44.4954397)
198;N/A;POINT (11.3195179 44.4922911)
199;N/A;POINT (11.314302899932214 44.4946288906158)
200;N/A;POINT (11.314775599999999 44.4947456)
201;N/A;POINT (11.310874300000002 44.49397799999999)
202;N/A;POINT (11.3111938 44.49178609999999)
203;N/A;POINT (11.3112935 44.4968965)
204;N/A;POINT (11.3097752 44.49380450000002)
205;N/A;POINT (11.312894099999998 44.49432529999999)
206;N/A;POINT (11.3209252 44.4895959)
207;N/A;POINT (11.3210602 44.490086100000006)
208;N/A;POINT (11.320579300000002 44.489515299999994)
209;N/A;POINT (11.3444653 44.5012109)
210;N/A;POINT (11.3435048 44.50143709999999)
211;N/A;POINT (11.345490849997558 44.50477265000033)
212;N/A;POINT (11.345033 44.50107619999999)
213;N/A;POINT (11.3484749 44.497539399999994)
214;N/A;POINT (11.3504892 44.4996912)
215;N/A;POINT (11.349379 44.499952199999996)
216;N/A;POINT (11.3525066 44.49918249999999)
217;N/A;POINT (11.3508053 44.494268)
218;N/A;POINT (11.350635199999997 44.4937628)
219;N/A;POINT (11.3499433 44.494376)
220;N/A;POINT (11.355923550027402 44.49824055001375)
221;N/A;POINT (11.356593931377578 44.498180299046766)
222;N/A;POINT (11.354132799999999 44.49758299999999)
223;N/A;POINT (11.3480483 44.4974498)
224;N/A;POINT (11.3475881 44.49739910000001)
225;N/A;POINT (11.3476123 44.49763140000001)
226;N/A;POINT (11.346365100000002 44.4985905)
227;N/A;POINT (11.346284699999998 44.49808779999999)
228;N/A;POINT (11.3453524 44.49889219999999)
229;N/A;POINT (11.3478096 44.50035359999999)
230;N/A;POINT (11.3441105 44.499072)
231;N/A;POINT (11.3471837 44.4968573)
232;N/A;POINT (11.348497 44.4963697)
233;N/A;POINT (11.3495872 44.4958487)
234;N/A;POINT (11.3504001 44.496161699999995)
235;N/A;POINT (11.356813249991388 44.496511700054945)
236;N/A;POINT (11.351987699999999 44.49779219999999)
237;N/A;POINT (11.3530277 44.49907189999999)
238;N/A;POINT (11.35623194992514 44.5009398500418)
239;N/A;POINT (11.3573431 44.50150899999999)
240;N/A;POINT (11.3527751 44.502320399999995)
241;N/A;POINT (11.347536 44.5043528)
242;N/A;POINT (11.347038399971428 44.50440925000421)
243;N/A;POINT (11.3493591 44.5035722)
244;N/A;POINT (11.349223650003424 44.50378425000202)
245;N/A;POINT (11.3491105 44.5032754)
246;N/A;POINT (11.350711999953358 44.503093350009685)
247;N/A;POINT (11.352550445947132 44.50200719379104)
248;N/A;POINT (11.3530915 44.502035599999985)
249;N/A;POINT (11.3508748 44.5001896)
250;N/A;POINT (11.349557399999998 44.500776099999996)
251;N/A;POINT (11.3542406 44.4987597)
252;N/A;POINT (11.3370251 44.49583500000001)
253;N/A;POINT (11.337328249977208 44.49647550000366)
254;N/A;POINT (11.3367023 44.495094900000005)
255;N/A;POINT (11.337699799999998 44.4956597)
256;N/A;POINT (11.3424051 44.50531279999999)
257;N/A;POINT (11.341433699999998 44.50538)
258;N/A;POINT (11.338311200063615 44.50510570001425)
259;N/A;POINT (11.330150450070498 44.50099525001751)
260;N/A;POINT (11.326857017958519 44.49939642805175)
261;N/A;POINT (11.327581355863835 44.49708140192531)
262;N/A;POINT (11.3277373 44.4962151)
263;N/A;POINT (11.328618149980278 44.493791500057334)
264;N/A;POINT (11.329572949985566 44.49048620003676)
265;N/A;POINT (11.3295572 44.4901339)
266;N/A;POINT (11.328858952160804 44.49036898906815)
267;N/A;POINT (11.3321122 44.489165)
268;N/A;POINT (11.333493899937029 44.488736050014744)
269;N/A;POINT (11.3319988 44.4874729)
270;N/A;POINT (11.33446593399766 44.48832792354567)
271;N/A;POINT (11.3424087 44.4859741)
272;N/A;POINT (11.3427415 44.4861117)
273;N/A;POINT (11.344449299977699 44.48582780000201)
274;N/A;POINT (11.347385850039064 44.48548030000388)
275;N/A;POINT (11.3481717 44.4853248)
276;N/A;POINT (11.34855210005019 44.485207550006145)
277;N/A;POINT (11.3482236 44.484674000000005)
278;N/A;POINT (11.347896 44.48802859999999)
279;N/A;POINT (11.345154701097124 44.48781557895974)
280;N/A;POINT (11.3569458 44.4940883)
281;N/A;POINT (11.3569746 44.493896799999995)
282;N/A;POINT (11.3566205 44.4940162)
283;N/A;POINT (11.357706099994651 44.4885248500383)
284;N/A;POINT (11.357053699999998 44.48848799999998)
285;N/A;POINT (11.357838699972492 44.48739215003883)
286;N/A;POINT (11.3566809 44.4848068)
287;N/A;POINT (11.3561152 44.484799899999985)
288;N/A;POINT (11.356524600042352 44.48456690002341)
289;N/A;POINT (11.354108099999998 44.4847284)
290;N/A;POINT (11.329509199983791 44.49098355006169)
291;N/A;POINT (11.3308059 44.49038699999999)
292;N/A;POINT (11.3273083 44.4990715)
293;N/A;POINT (11.327559899999999 44.499068099999995)
294;N/A;POINT (11.332842525077957 44.50207362505166)
295;N/A;POINT (11.3348233 44.5032465)
296;N/A;POINT (11.334511899999999 44.503275899999984)
297;N/A;POINT (11.3351483 44.5034091)
298;N/A;POINT (11.3352181 44.5031685)
299;N/A;POINT (11.3441943 44.5049224)
300;N/A;POINT (11.341027900000002 44.5045212)
301;N/A;POINT (11.339587000007189 44.502013550001394)
302;N/A;POINT (11.3401465 44.5018955)
303;N/A;POINT (11.340332600013042 44.50230435000224)
304;N/A;POINT (11.3401967 44.5027266)
305;N/A;POINT (11.339772799988516 44.502441800009365)
306;crossing;POINT (11.340314900000001 44.4888883)
307;N/A;POINT (11.3410548 44.4899534)
308;N/A;POINT (11.340889999999998 44.48874419999999)
309;N/A;POINT (11.3401353 44.49132279999999)
310;N/A;POINT (11.3398699 44.49138049999999)
311;N/A;POINT (11.3399672 44.49006359999999)
312;N/A;POINT (11.3309855 44.4907443)
313;N/A;POINT (11.3322787 44.49004980000001)
314;N/A;POINT (11.3340753 44.49000149999999)
315;N/A;POINT (11.3344442 44.49002569999999)
316;N/A;POINT (11.3361482 44.4902485)
317;N/A;POINT (11.3355268 44.490168000000004)
318;N/A;POINT (11.337005499999998 44.4903189)
319;N/A;POINT (11.3366844 44.489251800000005)
320;N/A;POINT (11.337598750034546 44.49032150005663)
321;N/A;POINT (11.3381661 44.4902417)
322;N/A;POINT (11.3427151 44.489838)
323;N/A;POINT (11.3434057 44.489768500000004)
324;N/A;POINT (11.3404917 44.50895830000001)
325;N/A;POINT (11.339247700921822 44.509153408710944)
326;N/A;POINT (11.340255000000694 44.50775560000026)
327;N/A;POINT (11.347278600000001 44.510963499999995)
328;N/A;POINT (11.3475503 44.5118819)
329;N/A;POINT (11.3481368 44.510851599999995)
330;N/A;POINT (11.3483923 44.507904599999996)
331;N/A;POINT (11.3494888 44.50776559999999)
